Number,Species,,MovePool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bulbasaur,Starter,Tackle,Starter,Growl,Starter,Vine Whip,Beginner,Growth,Beginner,Leech Seed,Beginner,Razor Leaf,Amateur,Poison Powder,Amateur,Sleep Powder,Amateur,Seed Bomb,Amateur,Take Down,Amateur,Sweet Scent,Ace,Synthesis,Ace,Worry Seed,Ace,Double-Edge,Pro,Solar Beam,,,,,,,,,,,,
2,Ivysaur,Starter,Tackle,Starter,Growl,Starter,Vine Whip,Starter,Growth,Beginner,Leech Seed,Beginner,Razor Leaf,Amateur,Poison Powder,Amateur,Sleep Powder,Amateur,Seed Bomb,Amateur,Take Down,Ace,Sweet Scent,Pro,Synthesis,Pro,Worry Seed,Pro,Double-Edge,Pro,Solar Beam,,,,,,,,,,,,
3,Venusaur,Starter,Tackle,Starter,Growl,Starter,Vine Whip,Starter,Growth,Beginner,Leech Seed,Beginner,Razor Leaf,Amateur,Poison Powder,Amateur,Sleep Powder,Amateur,Seed Bomb,Amateur,Take Down,Ace,Sweet Scent,Ace,Petal Blizzard,Ace,Petal Dance,Pro,Synthesis,Pro,Worry Seed,Elite,Double-Edge,Elite,Solar Beam,,,,,,,,
3,Mega Venusaur,Starter,Tackle,Starter,Growl,Starter,Vine Whip,Starter,Growth,Beginner,Leech Seed,Beginner,Razor Leaf,Amateur,Poison Powder,Amateur,Sleep Powder,Amateur,Seed Bomb,Amateur,Take Down,Ace,Sweet Scent,Ace,Petal Blizzard,Ace,Petal Dance,Pro,Synthesis,Pro,Worry Seed,Elite,Double-Edge,Elite,Solar Beam,,,,,,,,
4,Charmander,Starter,Scratch,Starter,Growl,Starter,Ember,Beginner,Smokescreen,Beginner,Dragon Breath,Amateur,Fire Fang,Amateur,Slash,Amateur,Flamethrower,Ace,Scary Face,Ace,Fire Spin,Pro,Inferno,Pro,Flare Blitz,,,,,,,,,,,,,,,,,,
5,Charmeleon,Starter,Scratch,Starter,Growl,Starter,Ember,Starter,Smokescreen,Beginner,Dragon Breath,Amateur,Fire Fang,Amateur,Slash,Ace,Flamethrower,Pro,Scary Face,Pro,Inferno,Elite,Flare Blitz,,,,,,,,,,,,,,,,,,,,
6,Charizard,Starter,Scratch,Starter,Growl,Starter,Ember,Starter,Smokescreen,Beginner,Dragon Breath,Amateur,Fire Fang,Amateur,Slash,Ace,Flamethrower,Pro,Air Slash,Pro,Scary Face,Pro,Fire Spin,Elite,Inferno,Elite,Flare Blitz,Master,Heat Wave,,,,,,,,,,,,,,
6,Mega Charizard X,Starter,Scratch,Starter,Growl,Starter,Ember,Starter,Smokescreen,Beginner,Dragon Breath,Amateur,Fire Fang,Amateur,Slash,Ace,Flamethrower,Pro,Air Slash,Pro,Scary Face,Pro,Fire Spin,Elite,Inferno,Elite,Flare Blitz,Master,Heat Wave,,,,,,,,,,,,,,
6,Mega Charizard Y,Starter,Scratch,Starter,Growl,Starter,Ember,Starter,Smokescreen,Beginner,Dragon Breath,Amateur,Fire Fang,Amateur,Slash,Ace,Flamethrower,Pro,Air Slash,Pro,Scary Face,Pro,Fire Spin,Elite,Inferno,Elite,Flare Blitz,Master,Heat Wave,,,,,,,,,,,,,,
7,Squirtle,Starter,Tackle,Starter,Tail Whip,Starter,Water Gun,Beginner,Withdraw,Beginner,Rapid Spin,Beginner,Bite,Beginner,Water Pulse,Amateur,Protect,Amateur,Rain Dance,Amateur,Aqua Tail,Amateur,Shell Smash,Ace,Iron Defense,Ace,Hydro Pump,Ace,Skull Bash,,,,,,,,,,,,,,
8,Wartortle,Starter,Tackle,Starter,Tail Whip,Starter,Water Gun,Starter,Withdraw,Beginner,Rapid Spin,Beginner,Bite,Beginner,Water Pulse,Amateur,Protect,Amateur,Rain Dance,Ace,Aqua Tail,Ace,Shell Smash,Ace,Iron Defense,Pro,Hydro Pump,Pro,Skull Bash,,,,,,,,,,,,,,
9,Blastoise,Starter,Tackle,Starter,Tail Whip,Starter,Water Gun,Starter,Withdraw,Beginner,Rapid Spin,Beginner,Bite,Beginner,Water Pulse,Amateur,Protect,Amateur,Rain Dance,Ace,Aqua Tail,Ace,Shell Smash,Ace,Flash Cannon,Pro,Iron Defense,Pro,Hydro Pump,Elite,Skull Bash,,,,,,,,,,,,
9,Mega Blastoise,Starter,Tackle,Starter,Tail Whip,Starter,Water Gun,Starter,Withdraw,Beginner,Rapid Spin,Beginner,Bite,Beginner,Water Pulse,Amateur,Protect,Amateur,Rain Dance,Ace,Aqua Tail,Ace,Shell Smash,Ace,Flash Cannon,Pro,Iron Defense,Pro,Hydro Pump,Elite,Skull Bash,,,,,,,,,,,,
10,Caterpie,Starter,Tackle,Starter,String Shot,Beginner,Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Metapod,Starter,Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
